name*,version*,license*,vendor/community,end-of-support,dependencies,language
"aopalliance,1.0.0,Public Domain,,,,java
"
commons-lang3,8.1,Apache 2.0,,,,java
jboss-jsp-api_2.2_spec,1.0.1.Final-redhat-1,LGPL 2.1,,,,java
jboss-servlet-api_3.0_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
spring-aop,4.3.25.RELEASE,Apache 2.0,,,,java
spring-beans,4.3.26.RELEASE,Apache 2.0,,,,java
spring-context,4.3.26.RELEASE,Apache 2.0,,,,java
spring-core,4.3.26.RELEASE,Apache 2.0,,,,java
spring-web,4.3.26.RELEASE,Apache 2.0,,,,java
struts2-arianna-plugin,0.7-beta.1,Apache 2.0,,,,java
struts2-core,2.5.30,Apache 2.0,,,,java
struts2-spring-plugin,2.5.30,Apache 2.0,,,,java
